arm,run,app_packets_sent,uids_transmitted,delivered,pdr,pdr_old_method,avg_delay_s,min_delay_s,max_delay_s,throughput_bps,energy_consumed_J
baseline,1,950,950,721,75.8947,75.8947,1.425245,0.77,4.72,153.8133,153930.0
baseline,2,950,950,429,45.1579,45.1579,1.511354,0.89,3.12,91.52,112976.0
baseline,3,950,947,459,48.3158,48.4688,1.450365,0.82,2.56,97.92,108758.0
baseline,4,950,942,559,58.8421,59.3418,1.829595,0.77,4.204,119.2533,136397.0
baseline,5,950,950,620,65.2632,65.2632,1.967573,0.81,4.95,132.2667,148891.0
baseline,6,950,950,788,82.9474,82.9474,1.435681,0.5,2.905,168.1067,145197.0
baseline,7,950,950,674,70.9474,70.9474,1.610148,1.04,3.76,143.7867,114371.0
baseline,8,950,948,641,67.4737,67.616,1.840306,0.56,4.66,136.7467,144470.0
baseline,9,950,950,378,39.7895,39.7895,1.651208,1.06,2.65,80.64,122241.0
baseline,10,950,950,663,69.7895,69.7895,1.716952,0.84,4.77,141.44,153024.0
baseline,11,950,950,445,46.8421,46.8421,2.716505,1.31,4.27,94.9333,142606.0
baseline,12,950,950,898,94.5263,94.5263,1.627385,0.61,3.87,191.5733,166080.0
baseline,13,950,950,616,64.8421,64.8421,1.978152,0.74,4.47,131.4133,139352.0
baseline,14,950,950,536,56.4211,56.4211,2.245269,1.09,4.413,114.3467,138687.0
baseline,15,950,950,370,38.9474,38.9474,2.230918,1.36,4.74,78.9333,136435.0
baseline,16,950,915,443,46.6316,48.4153,2.613327,1.09,4.554,94.5067,143298.0
baseline,17,950,936,631,66.4211,67.4145,1.516486,0.36,2.89,134.6133,139683.0
baseline,18,950,950,571,60.1053,60.1053,1.9815,0.64,4.14,121.8133,150023.0
baseline,19,950,950,568,59.7895,59.7895,1.503367,0.9,4.06,121.1733,133808.0
baseline,20,950,950,681,71.6842,71.6842,2.159693,1.07,4.501,145.28,179560.0
trustq,1,950,949,670,70.5263,70.6006,1.668554,0.34,4.991,142.9333,141556.0
trustq,2,950,942,584,61.4737,61.9958,2.026367,0.62,6.06,124.5867,134342.0
trustq,3,950,941,547,57.5789,58.1296,1.774258,0.626,4.56,116.6933,115521.0
trustq,4,950,943,662,69.6842,70.2015,1.94801,0.407,5.038,141.2267,143210.0
trustq,5,950,949,624,65.6842,65.7534,1.981203,0.35,5.753,133.12,157354.0
trustq,6,950,941,630,66.3158,66.9501,2.119865,0.453,5.78,134.4,154406.0
trustq,7,950,950,609,64.1053,64.1053,1.996901,0.51,5.59,129.92,144261.0
trustq,8,950,939,628,66.1053,66.8797,2.187524,0.584,6.017,133.9733,144178.0
trustq,9,950,940,518,54.5263,55.1064,1.846348,0.59,6.65,110.5067,134758.0
trustq,10,950,947,630,66.3158,66.5259,1.856123,0.2,6.84,134.4,142790.0
trustq,11,950,947,548,57.6842,57.8669,2.354247,0.785,8.6,116.9067,151813.0
trustq,12,950,948,703,74.0,74.1561,1.918881,0.4,8.28,149.9733,158870.0
trustq,13,950,948,614,64.6316,64.7679,2.155659,0.31,6.69,130.9867,162772.0
trustq,14,950,950,590,62.1053,62.1053,2.215909,0.428,7.23,125.8667,140548.0
trustq,15,950,949,620,65.2632,65.3319,2.226434,0.77,6.38,132.2667,148670.0
trustq,16,950,939,590,62.1053,62.8328,2.212012,0.3642,5.0,125.8667,135060.0
trustq,17,950,949,693,72.9474,73.0242,1.744095,0.3,6.27,147.84,145507.0
trustq,18,950,949,628,66.1053,66.1749,2.191289,0.242,5.67,133.9733,154821.0
trustq,19,950,950,572,60.2105,60.2105,1.957471,0.18,4.77,122.0267,125043.0
trustq,20,950,946,675,71.0526,71.3531,1.942163,0.62,5.88,144.0,145639.0
