arm,run,app_packets_sent,uids_transmitted,delivered,pdr,pdr_old_method,avg_delay_s,min_delay_s,max_delay_s,throughput_bps,energy_consumed_J
noattack,1,950,948,599,63.0526,63.1857,1.795134,0.34,5.27,127.7867,139466.0
noattack,2,950,950,591,62.2105,62.2105,2.049553,0.73,5.18,126.08,133628.0
noattack,3,950,943,558,58.7368,59.1729,1.790547,0.633,4.8,119.04,114434.0
noattack,4,950,945,640,67.3684,67.7249,1.986045,0.407,5.4,136.5333,147448.0
noattack,5,950,949,590,62.1053,62.1707,2.126149,0.32,5.36,125.8667,157427.0
noattack,6,950,945,671,70.6316,71.0053,1.975603,0.456,5.21,143.1467,157002.0
noattack,7,950,947,617,64.9474,65.1531,1.995263,0.52,5.827,131.6267,144100.0
noattack,8,950,942,649,68.3158,68.896,2.236329,0.489,7.56,138.4533,150216.0
noattack,9,950,947,554,58.3158,58.5005,1.85257,0.652,7.916,118.1867,142455.0
noattack,10,950,160,85,8.9474,53.125,1.795938,0.814,4.0969,18.1333,141001.0
noattack,11,950,40,29,3.0526,72.5,2.018703,1.0005,4.1856,6.1867,144050.0
noattack,12,950,119,88,9.2632,73.9496,1.692666,0.569,5.919,18.7733,157791.0
