arm,run,app_packets_sent,uids_transmitted,delivered,pdr,pdr_old_method,avg_delay_s,min_delay_s,max_delay_s,throughput_bps,energy_consumed_J
noattack,1,950,948,599,63.0526,63.1857,1.795134,0.34,5.27,127.7867,139466.0
noattack,2,950,950,591,62.2105,62.2105,2.049553,0.73,5.18,126.08,133628.0
noattack,3,950,943,558,58.7368,59.1729,1.790547,0.633,4.8,119.04,114434.0
noattack,4,950,945,640,67.3684,67.7249,1.986045,0.407,5.4,136.5333,147448.0
noattack,5,950,949,590,62.1053,62.1707,2.126149,0.32,5.36,125.8667,157427.0
noattack,6,950,945,671,70.6316,71.0053,1.975603,0.456,5.21,143.1467,157002.0
noattack,7,950,947,617,64.9474,65.1531,1.995263,0.52,5.827,131.6267,144100.0
noattack,8,950,942,649,68.3158,68.896,2.236329,0.489,7.56,138.4533,150216.0
noattack,9,950,947,554,58.3158,58.5005,1.85257,0.652,7.916,118.1867,142455.0
noattack,10,950,946,636,66.9474,67.2304,1.915268,0.2,6.0,135.68,141001.0
noattack,11,950,948,596,62.7368,62.8692,2.200044,0.784,5.36,127.1467,144050.0
noattack,12,950,949,669,70.4211,70.4953,1.944113,0.4,7.642,142.72,157791.0
noattack,13,950,948,635,66.8421,66.9831,2.072542,0.31,6.082,135.4667,163066.0
noattack,14,950,949,618,65.0526,65.1212,2.108374,0.428,6.78,131.84,143460.0
noattack,15,950,946,635,66.8421,67.1247,2.158548,0.77,5.693,135.4667,149399.0
noattack,16,950,950,634,66.7368,66.7368,2.138652,0.3635,5.74,135.2533,130895.0
noattack,17,950,945,688,72.4211,72.8042,1.613914,0.3,5.33,146.7733,142379.0
noattack,18,950,948,621,65.3684,65.5063,2.184261,0.242,7.909,132.48,158014.0
noattack,19,950,950,641,67.4737,67.4737,1.977822,0.18,6.18,136.7467,128986.0
noattack,20,950,947,660,69.4737,69.6938,1.951414,0.62,5.98,140.8,141404.0
underattack,1,950,948,598,62.9474,63.0802,1.752443,0.34,5.3444,127.5733,135406.0
underattack,2,950,950,586,61.6842,61.6842,1.982216,0.73,5.24,125.0133,123730.0
underattack,3,950,942,561,59.0526,59.5541,1.761221,0.633,4.53,119.68,110924.0
underattack,4,950,945,663,69.7895,70.1587,1.921649,0.406,5.07,141.44,140141.0
underattack,5,950,949,612,64.4211,64.4889,2.000274,0.32,7.669,130.56,146755.0
underattack,6,950,944,664,69.8947,70.339,1.939175,0.454,7.42,141.6533,150048.0
underattack,7,950,947,611,64.3158,64.5195,1.985482,0.52,6.26,130.3467,141352.0
underattack,8,950,943,652,68.6316,69.141,2.131128,0.489,4.75,139.0933,143821.0
underattack,9,950,946,540,56.8421,57.0825,1.778566,0.652,4.7,115.2,132987.0
underattack,10,950,945,607,63.8947,64.2328,1.803798,0.2,4.55,129.4933,125185.0
underattack,11,950,949,604,63.5789,63.6459,2.1446,0.784,4.8,128.8533,138719.0
underattack,12,950,949,690,72.6316,72.7081,1.861485,0.4,4.72,147.2,135722.0
underattack,13,950,948,636,66.9474,67.0886,2.022873,0.31,6.72,135.68,157243.0
underattack,14,950,950,639,67.2632,67.2632,1.997292,0.428,6.58,136.32,134651.0
underattack,15,950,946,624,65.6842,65.9619,2.038555,0.77,5.693,133.12,145588.0
underattack,16,950,950,638,67.1579,67.1579,2.079816,0.3635,4.76,136.1067,126498.0
underattack,17,950,944,674,70.9474,71.3983,1.568184,0.3,4.5,143.7867,130818.0
underattack,18,950,948,612,64.4211,64.557,1.993004,0.242,5.35,130.56,145481.0
underattack,19,950,950,628,66.1053,66.1053,1.913615,0.18,4.47,133.9733,126717.0
underattack,20,950,947,681,71.6842,71.9113,1.921078,0.62,5.3,145.28,142675.0
heavyattack,1,950,947,582,61.2632,61.4572,1.707858,0.34,5.22,124.16,122225.0
heavyattack,2,950,950,592,62.3158,62.3158,1.952225,0.73,5.18,126.2933,121744.0
heavyattack,3,950,945,540,56.8421,57.1429,1.688364,0.633,4.999,115.2,108646.0
heavyattack,4,950,947,605,63.6842,63.886,1.710163,0.407,4.823,129.0667,117703.0
heavyattack,5,950,949,601,63.2632,63.3298,1.942816,0.32,4.96,128.2133,142279.0
heavyattack,6,950,944,657,69.1579,69.5975,1.915101,0.454,5.33,140.16,145419.0
heavyattack,7,950,948,583,61.3684,61.4979,1.778334,0.52,5.201,124.3733,129315.0
heavyattack,8,950,943,646,68.0,68.5048,2.022303,0.489,5.1,137.8133,131311.0
heavyattack,9,950,946,532,56.0,56.2368,1.694107,0.652,5.83,113.4933,116946.0
heavyattack,10,950,948,619,65.1579,65.2954,1.700837,0.2,4.09,132.0533,115067.0
heavyattack,11,950,949,607,63.8947,63.9621,2.132705,0.784,4.79,129.4933,131861.0
heavyattack,12,950,949,686,72.2105,72.2866,1.762477,0.4,6.05,146.3467,129996.0
heavyattack,13,950,947,635,66.8421,67.0539,1.937584,0.31,5.815,135.4667,149808.0
heavyattack,14,950,950,631,66.4211,66.4211,1.902649,0.428,4.77,134.6133,123463.0
heavyattack,15,950,944,622,65.4737,65.8898,2.021809,0.77,5.693,132.6933,140699.0
heavyattack,16,950,950,632,66.5263,66.5263,2.003953,0.3635,4.78,134.8267,117629.0
heavyattack,17,950,948,676,71.1579,71.308,1.529192,0.3,4.52,144.2133,120698.0
heavyattack,18,950,950,633,66.6316,66.6316,2.008913,0.242,5.14,135.04,142078.0
heavyattack,19,950,950,626,65.8947,65.8947,1.895799,0.18,4.87,133.5467,121938.0
heavyattack,20,950,947,668,70.3158,70.5385,1.777313,0.62,5.0,142.5067,130898.0
