node_id,self_trust,times_eligible,times_forwarded
0,0.5,0,0
1,0.98552,15,14
2,0.5,0,0
3,0.5,0,0
4,0.5,0,0
5,0.5,0,0
6,5.52214e-06,32,0
7,1,64,64
8,0.5,0,0
9,0.319635,96,32
10,0.5,0,0
11,0.5,0,0
12,0.999994,32,32
13,0.5,0,0
14,0.999994,32,32
15,1,63,63
16,0.5,0,0
17,0.5,0,0
18,0.5,0,0
19,0.999994,32,32
20,0.5,0,0
21,0.00484445,13,0
22,0.245,2,0
23,0.5,0,0
24,0.926972,42,38
25,0.5,0,0
26,0.5,0,0
27,0.999994,32,32
28,5.52214e-06,32,0
29,0.5,0,0
30,0.999994,32,32
31,0.5,0,0
32,0.5,0,0
33,0.5,0,0
34,3.8655e-06,33,0
35,0.5,0,0
36,5.52214e-06,32,0
37,0.5,0,0
38,0.5,0,0
39,0.5,0,0
40,0.5,0,0
41,0.5,0,0
42,0.5,0,0
43,0.5,0,0
44,0.5,0,0
45,0.999992,31,31
46,5.52214e-06,32,0
47,0.5,0,0
48,5.52214e-06,32,0
49,0.5,0,0
50,0.5,0,0
51,0.5,0,0
52,0.5,0,0
53,0.5,0,0
54,0.5,0,0
55,0.5,0,0
56,5.52214e-06,32,0
57,0.5,0,0
58,0.999994,32,32
59,0.5,0,0
60,0.5,0,0
61,0.5,0,0
62,0.5,0,0
63,0.5,0,0
64,0.999994,32,32
65,5.52214e-06,32,0
66,5.52214e-06,32,0
67,0.5,0,0
68,0.5,0,0
69,5.52214e-06,32,0
70,0.5,0,0
71,0.5,0,0
72,0.5,0,0
73,0.000136844,23,0
74,0.5,0,0
75,0.670035,32,19
76,0.5,0,0
77,0.5,0,0
78,0.5,0,0
79,0.5,0,0
80,0.5,0,0
81,0.245,2,0
82,0.999994,32,32
83,6.0988e-11,64,0
84,0.5,0,0
85,0.5,0,0
86,0.5,0,0
87,0.5,0,0
88,0.5,0,0
89,0.5,0,0
90,0.5,0,0
91,0.999994,32,32
92,0.5,0,0
93,0.5,0,0
94,5.52214e-06,32,0
95,1,64,64
96,0.5,0,0
97,5.52214e-06,32,0
98,0.5,0,0
99,0.5,0,0
