node_id,self_trust,times_eligible,times_forwarded,is_malicious
0,0.5,0,0,0
1,0.5,0,0,0
2,0.915965,5,5,0
3,0.941176,6,6,0
4,0.5,0,0,0
5,0.5,0,0,0
6,0.5,0,0,0
7,0.999863,23,23,0
8,0.5,0,0,0
9,0.990113,11,11,0
10,0.5,0,0,0
11,0.941176,6,6,0
12,0.87995,4,4,0
13,0.5,0,0,0
14,0.999977,28,28,0
15,0.993079,12,12,0
16,0.999805,22,22,0
17,0.999999,38,38,0
18,0.5,0,0,0
19,0.999863,23,23,0
20,0.971176,8,8,0
21,0.87995,4,4,0
22,0.5,0,0,0
23,0.5,0,0,0
24,0.5,0,0,0
25,0.5,0,0,0
26,0.5,0,0,0
27,0.999999,38,38,0
28,0.99943,19,19,0
29,0.5,0,0,0
30,0.5,0,0,0
31,0.5,0,0,0
32,0.755,2,2,0
33,0.5,0,0,0
34,0.5,0,0,0
35,0.5,0,0,0
36,0.87995,4,4,0
37,0.5,0,0,0
38,0.5,0,0,0
39,0.5,0,0,0
40,0.999999,37,37,0
41,0.999721,21,21,0
42,0.5,0,0,0
43,0.999863,23,23,0
44,0.5,0,0,0
45,0.8285,3,3,0
46,0.999984,29,29,0
47,0.99943,19,19,0
48,0.999953,26,26,0
49,0.971176,8,8,0
50,0.5,0,0,0
51,0.5,0,0,0
52,0.65,1,1,0
53,0.979823,9,9,0
54,0.5,0,0,0
55,0.915965,5,5,0
56,0.971176,8,8,0
57,0.999863,23,23,0
58,1,43,43,0
59,0.971176,8,8,0
60,0.5,0,0,0
61,0.5,0,0,0
62,1,51,51,0
63,0.755,2,2,0
64,0.5,0,0,0
65,0.985876,10,10,0
66,0.999186,18,18,0
67,0.5,0,0,0
68,0.5,0,0,0
69,0.65,1,1,0
70,0.5,0,0,0
71,0.5,0,0,0
72,0.5,0,0,0
73,0.5,0,0,0
74,0.995156,13,13,0
75,0.998338,16,16,0
76,0.990113,11,11,0
77,0.755,2,2,0
78,0.8285,3,3,0
79,0.999904,24,24,0
80,0.979823,9,9,0
81,1,67,67,0
82,0.5,0,0,0
83,0.999998,35,35,0
84,1,97,97,0
85,0.5,0,0,0
86,1,45,45,0
87,0.5,0,0,0
88,0.999984,29,29,0
89,0.995156,13,13,0
90,0.971176,8,8,0
91,0.5,0,0,0
92,0.999805,22,22,0
93,0.971176,8,8,0
94,0.999933,25,25,0
95,0.990113,11,11,0
96,0.5,0,0,0
97,0.995156,13,13,0
98,0.915965,5,5,0
99,0.999721,21,21,0
